ID,ISP,Philippines,Service,Server ID,Server name,Download,Upload,Ping,Packet loss,Download jitter,Upload jitter,Ping jitter,Upload latency high,Upload latency low,Upload latency avg,Download latency high,Download latency low,Download latency avg,Created at
114,PLDT Fibre,Manila,ookla,7167,PLDT,613199904,785622376,1.086,,4.466,26.114,0.211,193.381,3.677,89.19,203.194,0.953,1.483,20/06/2024 3:00
115,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",613325616,659877704,1.95,0,1.675,68.886,0.082,401.423,2.281,142.817,36.157,1.574,2.101,20/06/2024 3:15
116,PLDT Fibre,Manila,ookla,7415,Smart Communications,615571008,905069736,1.429,0,0.473,4.187,0.158,18.603,1.218,3.891,16.026,1.192,1.786,20/06/2024 3:30
117,PLDT Fibre,Quezon City,ookla,7131,PLDT,624778304,844587432,0.975,,3.999,10.563,0.21,73.084,2.387,27.001,203.157,0.875,1.359,20/06/2024 3:45
118,PLDT Fibre,Pasig,ookla,7123,PLDT,613242352,657172096,1.381,,2.517,0.654,0.077,12.679,2.02,10.696,202.812,1.183,1.696,20/06/2024 4:00
119,PLDT Fibre,Pasig,ookla,7123,PLDT,604271120,843481312,1.444,,0.823,1.861,0.091,15.827,2.677,10.341,17.277,1.092,1.781,20/06/2024 4:15
120,PLDT Fibre,Manila,ookla,7415,Smart Communications,622887960,857972152,1.413,0,3.266,20.987,0.178,579.035,1.418,4.804,237.199,1.212,1.956,20/06/2024 4:30
121,PLDT Fibre,Pasig,ookla,7123,PLDT,606770920,640770088,1.431,,9.067,76.15,0.105,431.776,1.856,193.661,208.181,1.169,1.673,20/06/2024 4:45
122,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",607406840,621371488,1.873,0,3.949,13.497,0.11,212.084,1.35,3.768,228.689,1.44,1.944,20/06/2024 5:00
123,PLDT Fibre,Pasig,ookla,7123,PLDT,608656928,824222536,1.438,,5.849,4.152,0.077,203.625,1.172,2.033,218.473,1.143,1.703,20/06/2024 5:15
124,PLDT Fibre,Pasig,ookla,7123,PLDT,612648488,491884368,1.425,,3.196,0.849,0.116,24.808,3.238,11.071,203.751,1.127,1.736,20/06/2024 5:30
125,PLDT Fibre,Manila,ookla,7167,PLDT,619961488,915172232,0.974,,0.856,4.735,0.192,48.322,4.747,14.32,25.829,1.008,1.648,20/06/2024 5:45
126,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",622878200,613074808,1.962,0,0.688,12.829,0.1,555.517,1.324,1.888,41.174,1.39,1.964,20/06/2024 6:00
127,PLDT Fibre,Manila,ookla,7415,Smart Communications,613026600,650573400,1.491,0,2.647,24.359,0.119,336.647,1.365,18.159,209.244,1.186,1.744,20/06/2024 6:15
128,PLDT Fibre,Quezon City,ookla,7131,PLDT,617392352,883403928,0.969,,0.248,11.283,0.072,115.906,2.199,36.248,3.924,0.774,1.14,20/06/2024 6:30
129,PLDT Fibre,Pasig,ookla,7123,PLDT,619502776,463290720,1.442,,0.435,2.968,0.217,18.227,1.177,3.551,17.265,1.1,1.616,20/06/2024 6:45
130,PLDT Fibre,Pasig,ookla,7123,PLDT,613612512,898200136,1.437,,0.647,1.408,0.104,11.272,1.334,3.628,33.758,1.129,1.672,20/06/2024 7:00
131,PLDT Fibre,Manila,ookla,7167,PLDT,609824296,924220576,1.457,,3.137,0.629,0.163,12.361,1.106,1.552,202.958,1.03,1.413,20/06/2024 7:15
132,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",627536224,894504112,1.744,0,2.556,15.885,0.15,997.639,2.622,47.727,254.001,1.368,1.921,20/06/2024 7:30
133,PLDT Fibre,Quezon City,ookla,7131,PLDT,621676240,613169392,1.007,,2.553,0.985,0.188,36.507,0.787,1.154,202.67,0.89,1.348,20/06/2024 7:45
134,PLDT Fibre,Pasig,ookla,7123,PLDT,612622176,698371120,1.392,,0.389,9.917,0.096,67.1,1.524,14.141,14.295,1.237,1.715,20/06/2024 8:00
135,PLDT Fibre,Manila,ookla,7415,Smart Communications,628996352,903529952,1.433,0,2.077,14.203,0.063,466.717,2.126,16.998,206.079,1.209,1.665,20/06/2024 8:15
136,PLDT Fibre,Manila,ookla,7415,Smart Communications,612851216,866705168,1.411,0,0.815,15.596,0.14,180.306,1.909,67.288,31.514,1.241,1.739,20/06/2024 8:30
137,PLDT Fibre,Manila,ookla,7415,Smart Communications,624526608,548912976,1.462,0,0.583,31.02,0.179,177.919,1.795,100.643,23.847,1.138,1.677,20/06/2024 8:45
138,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",612993520,584828000,1.967,0,0.909,0.371,0.256,12.333,1.533,1.864,33.455,1.421,1.944,20/06/2024 9:00
139,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",612848464,928824448,1.575,0,0.434,6.009,0.164,442.874,1.469,2.29,15.984,1.47,1.916,20/06/2024 9:15
140,PLDT Fibre,Quezon City,ookla,7131,PLDT,613691864,845553992,1.015,,1.172,7.458,0.16,302.873,4.699,29.433,10.911,0.971,1.495,20/06/2024 9:30
141,PLDT Fibre,Manila,ookla,7167,PLDT,612147744,900108104,0.966,,0.583,0.731,0.111,6.325,1.098,1.747,25.595,1.02,1.502,20/06/2024 9:45
142,PLDT Fibre,Manila,ookla,7167,PLDT,613273392,911019216,0.998,,0.921,2.501,0.099,23.401,1.261,4.681,35.592,0.982,1.46,20/06/2024 10:00
143,PLDT Fibre,Quezon City,ookla,7131,PLDT,612723200,832323408,0.976,,6.412,1.951,0.084,17.079,4.598,11.581,203.256,0.874,1.339,20/06/2024 10:15
144,PLDT Fibre,Manila,ookla,7167,PLDT,618123784,925187840,1.306,,4.974,1.233,0.397,12.588,1.642,3.148,213.511,1.043,1.767,20/06/2024 10:30
